Car Name,Reviews Count,Fuel Type,Engine Displacement (cc),No. of cylinder,Seating Capacity,TransmissionType,Fuel Tank Capacity,Body Type,Rating,Starting Price,Ending Price,Max Torque (Nm),Max Torque (RPM),Max Power (BHP),Max Power (RPM)
Land Rover Range Rover Velar,35 reviews,Petrol,1997,4,5,Automatic,82,SUV,4.5,8941000,8941000,365,4000,246.74,5500
Honda WR-V,81 reviews,Diesel,1498,4,5,Manual,40,SUV,4.5,911000,1231000,200,1750,97.89,3600
Volvo XC60,24 reviews,Petrol,1998,5,5,Automatic,70,SUV,4.5,6590000,6590000,440,3000,246.74,4000
Skoda Kodiaq,10 reviews,Petrol,1984,4,7,Automatic,58,SUV,4.5,3749000,3999000,320,4100,187.74,6000
Audi A4,23 reviews,Petrol,1998,4,5,Automatic,54,Sedan,4.5,4312000,4997000,320,4200,187.74,6000
BMW X3,6 reviews,Petrol,1998,4,5,Automatic,0,SUV,4.5,6190000,6790000,350,4800,248.08,5200
BMW Z4,12 reviews,Petrol,2998,6,2,Automatic,52,Convertible,4.5,7190000,8490000,500,4500,335,6500
BMW 3 Series Gran Limousine,43 reviews,Petrol,1998,4,5,Automatic,59,Sedan,4.5,4690000,6890000,400,4400,254.79,5000
Nissan Kicks,257 reviews,Petrol,1330,4,5,Automatic,50,SUV,4.5,950000,1490000,254,1600,153.87,5500
Mahindra Marazzo,321 reviews,Diesel,1497,4,8,Manual,45,MUV,4.5,1317000,1544000,300,2500,120.96,3500
Mercedes-Benz C-Class,11 reviews,Diesel,1993,4,5,Automatic,0,Sedan,4.5,5500000,6100000,550,2200,261.49,4200
BMW X6,4 reviews,Petrol,2998,6,5,Automatic,83,Luxury,4.5,10400000,10400000,450,5200,335.25,6500
Mahindra Alturas G4,122 reviews,Diesel,2157,4,7,Automatic,70,SUV,4.5,3188000,3188000,420,2600,178.49,3800
Bajaj Qute (RE60),43 reviews,CNG,216,1,4,Manual,35,Hatchback,4,361000,361000,16.1,4000,10.8,5500
Volkswagen Vento,94 reviews,Petrol,999,3,5,Automatic,55,Sedan,4.5,1000000,1444000,175,4000,108.62,5500
Audi Q5,3 reviews,Petrol,1984,4,5,Manual,0,SUV,4.5,5990000,6555000,370,4300bhp,245.59,6000
Ferrari Roma,2 reviews,Petrol,3855,8,2,Automatic,80,Coupe,4.5,37600000,37600000,760,5750,611.5,7500
MG ZS EV,14 reviews,Electric,0,0,5,Electric,0,SUV,4.5,2200000,2588000,280,0,173.83,0
BMW 7 Series,16 reviews,Petrol,2998,6,4,Automatic,46,Sedan,4.5,14200000,17600000,450,5000,281.6,6000
Mercedes-Benz E-Class,8 reviews,Diesel,2925,6,5,Automatic,0,Sedan,4.5,6700000,8500000,600,3200,281.61,4600
BMW i4,8 reviews,Electric,0,0,5,Electric,0,Sedan,4.5,6990000,6990000,430,0,335.25,0
Land Rover Range Rover Sport,7 reviews,Diesel,2997,6,5,Automatic,0,SUV,4.5,16400000,18400000,700,3000,345.98,4000
Jaguar F-TYPE,4 reviews,Petrol,5000,8,2,Automatic,70,Coupe,4.5,9813000,15300000,580,500,443.8,6000
Datsun redi-GO,67 reviews,Petrol,999,3,5,Automatic,28,Hatchback,3.5,398000,496000,91,4250,67.05,5550
BMW 2 Series,9 reviews,Diesel,1995,4,5,Automatic,51,Sedan,4.5,4150000,4450000,400,2500,187.74,4000
Isuzu D-Max,8 reviews,Diesel,1898,4,5,Automatic,0,SUV,4.5,1300000,2700000,360,2500,160.92,3600
BMW 5 Series,6 reviews,Diesel,2993,6,5,Automatic,0,Sedan,4.5,6450000,7450000,620,2500,261.49,4000
Audi Q2,10 reviews,Petrol,1984,4,5,Automatic,55,SUV,4.5,3499000,4889000,320,4180,187.74,6000
Mercedes-Benz GLS,10 reviews,Petrol,3982,8,7,Automatic,90,SUV,4.5,11600000,24700000,730,4500,549.81,6500
Porsche Cayenne,12 reviews,Petrol,3996,8,5,Automatic,90,SUV,4.5,12700000,19300000,770,4500,550,6000
Citroen C5 Aircross,44 reviews,Diesel,1997,4,5,Automatic,52.5,SUV,4,3224000,3378000,400,2000,174.33,3750
Datsun GO,312 reviews,Petrol,1198,3,5,Automatic,35,Hatchback,4.5,403000,651000,104,4400,76.43,6000
Volvo S60,7 reviews,Petrol,1969,4,5,Automatic,0,Sedan,4.5,4590000,4590000,300,0,190,0
Porsche Macan,9 reviews,Petrol,2894,6,5,Automatic,65,SUV,4.5,8321000,14700000,550,5600,434.49,6600
Jaguar XE,22 reviews,Petrol,1997,4,5,Automatic,61.7,Sedan,4.5,4664000,4850000,365,4000,246.74,5500
BYD E6,6 reviews,Electric,0,0,5,Electric,0,MUV,4.5,2915000,2915000,180,0,93.87,0
Jaguar F-Pace,5 reviews,Petrol,4999,8,5,Automatic,82,SUV,4.5,7488000,15600000,700,5000,543.11,6500
Tata Tiago NRG,12 reviews,Petrol,1199,3,5,Automatic,35,Hatchback,4.5,642000,738000,113,3300,84.48,6000
Mahindra KUV 100 NXT,226 reviews,Petrol,1198,3,6,Manual,35,Hatchback,4.5,618000,784000,115,3600,82,5500
Mini Cooper SE,3 reviews,Electric,0,0,4,Automatic,0,Hatchback,4.5,5090000,5090000,270,1000,181.03,0
Audi e-tron,7 reviews,Electric,0,0,5,Electric,0,Coupe,4.5,10100000,11900000,664,0,300,0
Datsun GO Plus,307 reviews,Petrol,1198,3,7,Automatic,35,MUV,4.5,426000,700000,104,4400,76.43,6000
Mercedes-Benz AMG G 63,8 reviews,Petrol,3982,8,5,Automatic,0,SUV,4.5,25500000,25500000,850,3500,576.63,6000
Mercedes-Benz AMG GT,16 reviews,Petrol,3982,8,2,Automatic,75,Coupe,4.5,27100000,27100000,700,5500,576.63,6250
Lexus ES,31 reviews,Petrol,2487,4,5,Automatic,65,Sedan,4.5,5950000,6560000,202,5200,214.56,5700
Porsche Taycan,8 reviews,Electric,0,0,5,Electric,0,Wagon,4.5,15300000,23400000,650,0,482.76,0
Lexus LS,3 reviews,Petrol,3456,6,4,Automatic,82,Sedan,4.5,19100000,22200000,350,5100,354,6600
Rolls-Royce Cullinan,15 reviews,Petrol,6750,12,5,Automatic,0,SUV,4.5,69500000,69500000,850,1600,563,5000
Isuzu MU-X,2 reviews,Diesel,1898,4,7,Automatic,55,SUV,4.5,3500000,3790000,360,2500,160.92,3600
BMW iX,3 reviews,Electric,0,0,5,Electric,0,SUV,4.5,11600000,11600000,630,0,321.84,0
Bentley Flying Spur,9 reviews,Petrol,5950,12,4,Automatic,90,Sedan,4.5,32200000,34100000,900,4500,626,6000
Mercedes-Benz S-Class,12 reviews,Petrol,2999,6,5,Automatic,0,Sedan,4.5,16000000,16900000,500,4500,362.07,6100
Maserati Quattroporte,2 reviews,Petrol,3799,8,5,Automatic,80,Sedan,4.5,17100000,21200000,650,4000,530,6800
Jaguar XF,31 reviews,Diesel,1997,4,5,Automatic,0,Sedan,4.5,7160000,7600000,430,2500,201.15,4250
Mercedes-Benz GLC,38 reviews,Diesel,1950,4,5,Automatic,66,SUV,4.5,6200000,6800000,400,2800,194,3800
Ferrari Portofino,5 reviews,Petrol,3855,8,4,Automatic,81,Convertible,4.5,35000000,35000000,760,5250,591.79,7500
Mercedes-Benz Maybach S-Class,7 reviews,Petrol,5980,12,4,Automatic,0,Sedan,4.5,25000000,32000000,900,4000,603.46,5500
Maserati Levante,4 reviews,Petrol,2979,6,5,Automatic,80,SUV,3.5,14900000,16400000,580,5750,350,5750
Tata Yodha Pickup,4 reviews,Diesel,2956,4,4,Manual,45,Pickup Truck,4.5,695000,750000,250,2000,85,3000
Aston Martin DBX,5 reviews,Diesel,3982,8,5,Automatic,85,SUV,4.5,38200000,38200000,700,5000,542,6500
Bentley Continental,17 reviews,Petrol,5998,12,4,Automatic,90,Convertible,4.5,32900000,39100000,700,1600,562,6000
Mercedes-Benz EQS,2 reviews,Electric,0,0,5,Electric,0,Sedan,5,25400000,25400000,1020,0,750.97,0
Ferrari 812,3 reviews,Petrol,6496,8,2,Automatic,92,Convertible,4.5,57500000,57500000,718,7000,788.52,8500
Audi RS7,4 reviews,Petrol,3996,6,4,Automatic,73,Luxury,4.5,22400000,22400000,800,4500,591,6250
Mercedes-Benz AMG GLE 63 S,2 reviews,Petrol,3982,8,5,Automatic,0,SUV,4.5,21500000,21500000,850,5000,603.46,6500
Mclaren GT,1 review,Petrol,3994,8,,Automatic,72,Coupe,4.5,45000000,45000000,630,0,611.51,0
Mercedes-Benz G-Class,12 reviews,Diesel,2925,6,5,Automatic,100,SUV,4.5,17200000,17200000,600,3200,281.61,4600
Nissan GT-R,20 reviews,Petrol,3798,6,4,Automatic,74,Coupe,4.5,21200000,21200000,637,5800,562.2,6800
BMW M2,5 reviews,Petrol,2979,6,4,Automatic,52,Coupe,4.5,8500000,8500000,550,5230,410,6250
Mahindra E Verito,14 reviews,Electric,0,0,5,Electric,0,Sedan,4,913000,946000,91,3000,41.57,3500
Rolls Royce Wraith,6 reviews,Petrol,6592,12,4,Automatic,83,Coupe,4.5,62200000,72100000,900,4500,591,5500
Mercedes-Benz V-Class,8 reviews,Diesel,2143,4,7,Automatic,57,MUV,4.5,7110000,14600000,380,2400,161,3800
Porsche 911,8 reviews,Petrol,2981,6,4,Automatic,64,Coupe,4.5,17300000,31400000,450,5000,641,6500
Porsche Panamera,1 review,Petrol,2894,8,5,Automatic,0,Wagon,4.5,15800000,27100000,770,4500,680,6000
Mini Cooper Convertible,14 reviews,Petrol,1998,4,4,Automatic,44,Convertible,4.5,5150000,5150000,280,1250,189.08,6000
Maserati Ghibli,2 reviews,Petrol,3799,8,5,Automatic,80,Sedan,3,11500000,19300000,450,1500,330,1500
Lexus NX,1 review,Petrol,2487,4,5,Automatic,55,SUV,4,6490000,7160000,239,4500,187.74,6000
Land Rover Discovery Sport,6 reviews,Petrol,1997,4,7,Automatic,70,SUV,4.5,6530000,7139000,365,4500,245.4,5500
